provider,region,instance_type,vcpu,ram_gb,instance_count,monthly_hours,storage_gb,egress_gb,managed_db,load_balancer,avg_cpu_util,monthly_cost
AWS,ap-southeast-1,m6i.2xlarge,8,32,14,664.2,2795.5,1883.5,0,0,75.7,4409.41
GCP,asia-southeast1,e2-standard-2,2,8,10,389.1,3708.5,12877.3,0,1,25.5,1688.93
GCP,us-central1,n2-standard-2,2,8,18,536.3,3037.2,7090.5,0,0,75.1,1759.03
Azure,uksouth,D16s_v5,16,64,10,204.7,634.1,13661.0,0,0,34.3,2900.65
GCP,europe-west2,n2-standard-8,8,32,16,253.3,1913.3,4538.2,0,1,79.9,2234.08
GCP,us-central1,n2-standard-16,16,64,7,649.4,3223.0,7749.6,1,0,17.6,4538.5
Azure,eastus,D8s_v5,8,32,16,555.0,2826.6,15614.6,0,0,17.6,5154.7
AWS,eu-west-2,m6i.xlarge,4,16,14,445.7,2269.6,15300.0,0,0,55.3,2820.95
Azure,eastus,D8s_v5,8,32,7,301.0,1645.9,17068.1,1,1,30.3,2427.78
Azure,uksouth,D8s_v5,8,32,14,494.2,3139.9,13286.3,1,0,20.0,4353.66
GCP,us-central1,n2-standard-16,16,64,16,440.5,661.9,10020.9,1,0,45.2,6420.27
AWS,us-east-1,m6i.xlarge,4,16,7,535.5,1460.0,1753.0,1,0,86.8,1029.09
AWS,us-east-1,m6i.large,2,8,16,619.2,2873.2,8987.2,1,1,86.2,2082.75
GCP,asia-southeast1,n2-standard-16,16,64,5,352.6,2325.3,3535.5,0,0,69.8,2020.33
AWS,eu-west-2,m6i.large,2,8,3,546.5,356.1,8316.1,1,1,34.7,1026.31
Azure,southeastasia,D8s_v5,8,32,3,511.4,699.0,18502.4,0,1,58.2,2252.56
GCP,asia-southeast1,n2-standard-8,8,32,9,621.5,349.3,9733.2,0,0,56.5,3156.14
Azure,southeastasia,D2s_v5,2,8,6,367.0,2092.3,8778.2,1,0,85.7,1240.35
Azure,uksouth,D4s_v5,4,16,7,559.1,1139.3,13188.5,0,0,14.7,2012.23
GCP,asia-southeast1,n2-standard-2,2,8,5,201.1,2228.3,7418.4,0,0,33.5,936.27
GCP,us-central1,n2-standard-16,16,64,13,324.4,3745.5,3292.2,1,1,94.3,3927.68
AWS,us-east-1,m6i.4xlarge,16,64,15,682.4,3575.9,10377.2,1,0,64.5,9278.05
GCP,us-central1,e2-standard-2,2,8,15,328.0,3748.5,4819.4,1,0,18.8,1076.98
Azure,uksouth,D2s_v5,2,8,12,673.3,801.8,6206.5,0,0,50.1,1456.49
Azure,eastus,D16s_v5,16,64,4,254.3,2717.1,2436.7,0,0,57.3,1204.9
GCP,asia-southeast1,n2-standard-2,2,8,17,583.5,2961.2,2621.2,1,0,40.8,1598.49
GCP,europe-west2,e2-standard-2,2,8,11,719.0,1160.1,18496.2,1,0,62.1,2162.47
Azure,southeastasia,D4s_v5,4,16,3,416.4,3865.6,11920.9,0,0,47.1,1600.26
AWS,us-east-1,m6i.xlarge,4,16,14,647.8,3191.3,4652.8,0,0,83.1,2486.15
AWS,us-east-1,m6i.large,2,8,9,391.0,1715.0,13038.6,0,1,27.3,1586.62
AWS,ap-southeast-1,t3.large,2,8,17,239.4,284.9,11888.7,1,0,32.9,1500.98
AWS,ap-southeast-1,m6i.2xlarge,8,32,19,273.4,1153.2,3072.3,1,1,10.0,2696.91
GCP,us-central1,n2-standard-8,8,32,9,563.9,1586.6,6359.8,0,0,81.6,2639.56
Azure,uksouth,B2ms,2,8,4,313.5,1012.6,11424.7,1,1,38.6,1240.55
GCP,us-central1,n2-standard-2,2,8,2,209.3,3700.9,1982.3,0,0,93.2,485.85
GCP,europe-west2,e2-standard-2,2,8,16,542.4,3120.4,2691.0,0,1,82.2,1093.97
Azure,uksouth,D16s_v5,16,64,14,330.3,576.3,9557.5,1,1,38.1,4965.56
GCP,asia-southeast1,e2-standard-2,2,8,7,394.0,2749.3,5937.5,0,0,48.3,955.93
AWS,eu-west-2,m6i.4xlarge,16,64,20,548.1,3221.5,10654.4,0,1,71.1,10147.81
Azure,uksouth,D16s_v5,16,64,14,665.4,545.8,12287.6,1,0,12.6,8894.32
GCP,us-central1,n2-standard-8,8,32,20,631.7,2382.9,15652.5,0,0,27.8,6228.3
Azure,eastus,D16s_v5,16,64,2,527.5,701.7,11299.0,0,1,52.0,1873.35
AWS,ap-southeast-1,t3.medium,2,4,11,518.2,3726.3,2394.7,1,1,64.2,900.22
AWS,ap-southeast-1,m6i.4xlarge,16,64,16,558.6,1347.9,17967.3,0,1,37.8,9307.39
AWS,us-east-1,m6i.2xlarge,8,32,20,708.0,1762.9,7666.4,0,0,89.3,6278.25
AWS,eu-west-2,t3.medium,2,4,10,392.3,3946.8,14355.2,0,1,81.5,1755.35
GCP,us-central1,n2-standard-2,2,8,10,567.0,69.0,9086.4,0,1,46.3,1322.3
GCP,us-central1,n2-standard-2,2,8,7,698.0,3129.6,2211.8,0,0,30.6,904.22
GCP,us-central1,n2-standard-8,8,32,14,555.4,2607.5,1808.8,0,1,26.7,3378.3
GCP,asia-southeast1,n2-standard-2,2,8,16,291.8,3644.3,13125.4,1,1,9.6,1913.43
GCP,asia-southeast1,n2-standard-8,8,32,20,659.1,247.8,16019.3,0,0,67.8,7120.96
GCP,europe-west2,n2-standard-16,16,64,1,293.8,517.2,10090.6,0,0,81.6,1131.76
AWS,ap-southeast-1,m6i.4xlarge,16,64,2,332.7,2845.4,19604.1,0,1,60.5,2489.98
GCP,us-central1,n2-standard-2,2,8,18,580.2,709.0,1834.4,1,0,46.3,1285.0
AWS,eu-west-2,m6i.xlarge,4,16,18,261.9,3785.2,6026.9,0,0,63.4,1868.55
AWS,us-east-1,t3.large,2,8,3,466.7,1628.1,9483.4,1,1,30.0,1186.08
GCP,europe-west2,e2-standard-2,2,8,16,537.9,1659.0,8175.7,1,0,33.5,1510.97
GCP,us-central1,e2-standard-2,2,8,9,447.4,917.9,11449.2,0,0,63.3,1292.44
Azure,eastus,B2ms,2,8,5,489.7,1737.0,12520.2,1,1,71.3,1455.97
GCP,us-central1,n2-standard-4,4,16,19,464.0,2090.7,15997.4,1,0,49.5,3240.91
GCP,us-central1,e2-standard-2,2,8,18,211.3,1136.8,6682.6,1,1,71.8,976.63
Azure,uksouth,D8s_v5,8,32,17,663.1,1501.6,3072.3,0,1,37.8,5177.2
Azure,southeastasia,D2s_v5,2,8,9,355.4,2756.9,14108.1,1,0,6.0,1845.25
AWS,ap-southeast-1,m6i.large,2,8,11,272.4,680.3,16726.1,0,0,80.5,1825.84
GCP,us-central1,n2-standard-8,8,32,11,401.4,338.6,15106.6,1,1,18.6,2988.83
Azure,eastus,D2s_v5,2,8,19,205.2,946.8,5841.2,0,0,49.4,949.01
GCP,us-central1,n2-standard-16,16,64,17,539.6,2603.6,13404.1,0,1,38.0,8525.49
Azure,southeastasia,D16s_v5,16,64,7,656.3,1940.6,15372.6,0,1,86.9,5530.13
AWS,ap-southeast-1,m6i.xlarge,4,16,8,461.3,2135.0,2099.6,1,0,61.8,1215.74
AWS,us-east-1,t3.large,2,8,7,288.1,118.8,18549.2,1,1,58.9,1797.8
AWS,us-east-1,m6i.2xlarge,8,32,4,537.4,3927.6,12407.2,0,0,86.3,2136.11
GCP,us-central1,n2-standard-4,4,16,20,621.1,3469.9,2282.1,0,1,54.8,2896.98
AWS,ap-southeast-1,t3.medium,2,4,3,342.6,2940.3,14999.7,1,1,8.7,1658.52
GCP,asia-southeast1,e2-medium,2,4,10,735.8,1870.6,19558.3,1,0,12.6,2016.38
GCP,asia-southeast1,n2-standard-4,4,16,6,643.9,167.1,7454.0,1,1,65.8,1524.25
Azure,uksouth,D16s_v5,16,64,16,668.1,2962.9,16017.4,1,1,61.0,10699.56
Azure,eastus,D8s_v5,8,32,20,562.0,137.8,8027.1,0,0,26.4,5007.87
AWS,eu-west-2,t3.large,2,8,7,661.3,1209.8,11806.4,1,1,84.8,1604.4
AWS,us-east-1,t3.medium,2,4,14,584.7,3233.6,19974.9,1,1,17.3,2352.18
AWS,us-east-1,m6i.2xlarge,8,32,20,575.3,2388.9,7847.4,0,1,17.1,5457.87
AWS,us-east-1,m6i.large,2,8,8,190.0,1824.1,12690.8,1,1,91.3,1465.63
Azure,uksouth,D2s_v5,2,8,11,340.5,3590.0,4701.9,1,0,52.7,1103.9
GCP,europe-west2,n2-standard-4,4,16,13,348.9,980.7,6449.8,1,0,30.5,1658.88
AWS,us-east-1,m6i.xlarge,4,16,16,622.1,1764.8,9525.1,0,0,78.3,2878.68
Azure,southeastasia,D16s_v5,16,64,10,497.1,425.5,13058.4,0,1,44.0,5714.76
Azure,southeastasia,D4s_v5,4,16,20,238.1,183.5,4921.3,1,1,51.4,1615.87
GCP,us-central1,n2-standard-2,2,8,18,396.9,260.9,13963.8,1,1,40.5,1940.31
Azure,eastus,B2ms,2,8,1,243.2,3453.8,24.7,0,1,35.0,298.31
GCP,asia-southeast1,e2-medium,2,4,10,326.8,1303.5,4849.7,0,0,25.5,640.82
Azure,eastus,D8s_v5,8,32,19,207.4,1853.9,14231.2,1,1,17.4,2974.08
Azure,eastus,B2ms,2,8,19,197.6,460.3,12403.0,1,0,58.1,1402.03
AWS,eu-west-2,m6i.4xlarge,16,64,1,661.3,2484.1,3254.9,0,0,27.9,1042.37
Azure,uksouth,D2s_v5,2,8,20,735.3,1458.9,16263.2,1,0,59.1,3132.98
GCP,europe-west2,n2-standard-2,2,8,9,359.1,330.9,596.7,1,1,19.9,486.83
GCP,asia-southeast1,n2-standard-4,4,16,7,358.9,3562.3,11876.6,1,1,67.4,1924.79
AWS,ap-southeast-1,m6i.large,2,8,11,739.4,36.0,331.6,0,0,16.4,901.87
GCP,asia-southeast1,n2-standard-4,4,16,9,530.7,1107.3,1010.4,0,1,64.7,1188.59
GCP,us-central1,n2-standard-8,8,32,1,516.0,940.5,17477.8,1,0,54.8,1725.68
GCP,asia-southeast1,e2-medium,2,4,11,499.8,3038.5,19668.3,1,1,6.1,2075.75
Azure,uksouth,D2s_v5,2,8,11,410.1,394.4,17793.1,1,0,18.4,1977.69
GCP,us-central1,n2-standard-4,4,16,14,664.5,3652.1,4242.9,0,0,84.1,2444.7
GCP,europe-west2,n2-standard-16,16,64,11,598.3,2929.9,15659.2,0,1,86.4,7011.89
AWS,ap-southeast-1,m6i.large,2,8,11,295.3,2979.5,462.8,0,1,69.7,665.92
Azure,uksouth,D4s_v5,4,16,8,360.0,2442.8,11619.8,1,0,89.2,1839.96
GCP,us-central1,e2-medium,2,4,7,402.3,541.8,3257.4,0,1,90.9,417.24
GCP,us-central1,n2-standard-4,4,16,2,605.0,3526.5,5562.3,1,1,52.0,1043.6
AWS,us-east-1,m6i.large,2,8,3,451.6,3838.1,13050.4,0,1,27.7,1575.57
AWS,us-east-1,t3.large,2,8,16,674.5,3608.5,19691.4,0,0,11.5,2832.49
AWS,us-east-1,m6i.xlarge,4,16,5,234.7,3386.3,12335.1,0,1,27.8,1577.78
GCP,us-central1,n2-standard-16,16,64,18,509.5,2945.8,5920.7,1,1,73.4,7909.59
Azure,eastus,D16s_v5,16,64,13,248.0,3586.6,2007.9,1,0,21.2,3087.98
AWS,us-east-1,m6i.xlarge,4,16,9,318.3,2846.8,17026.7,0,1,52.8,2271.22
GCP,us-central1,n2-standard-4,4,16,6,710.2,3554.2,15547.2,0,1,52.7,2381.47
Azure,southeastasia,D4s_v5,4,16,9,254.3,520.1,19045.0,0,0,19.7,2111.34
AWS,us-east-1,t3.large,2,8,4,197.0,493.4,18337.0,1,0,46.9,1700.5
AWS,eu-west-2,m6i.4xlarge,16,64,11,285.6,3954.6,16366.2,0,1,18.8,4375.96
GCP,europe-west2,e2-standard-2,2,8,12,373.1,3181.9,12454.2,0,0,24.1,1620.78
AWS,eu-west-2,t3.medium,2,4,9,540.4,29.2,19867.4,1,1,46.2,1949.89
AWS,us-east-1,m6i.large,2,8,16,401.6,3689.0,6383.1,0,1,64.4,1463.69
GCP,us-central1,n2-standard-16,16,64,10,715.8,1384.0,3544.7,0,0,8.6,5835.78
GCP,asia-southeast1,n2-standard-2,2,8,15,739.4,2135.0,13199.9,1,0,38.0,2570.5
AWS,eu-west-2,m6i.4xlarge,16,64,9,496.9,2884.7,10178.7,0,1,63.2,4828.93
AWS,eu-west-2,t3.medium,2,4,10,251.0,385.1,13349.8,0,0,6.8,1270.65
AWS,ap-southeast-1,m6i.2xlarge,8,32,4,618.9,3445.3,4933.6,0,1,29.8,1817.16
Azure,eastus,B2ms,2,8,6,693.4,826.0,10841.6,0,0,59.9,1333.67
AWS,us-east-1,t3.large,2,8,13,360.8,3905.0,7993.5,0,1,41.0,1430.98
AWS,eu-west-2,m6i.xlarge,4,16,8,707.9,3418.9,6444.3,0,1,61.9,2035.11
Azure,southeastasia,D4s_v5,4,16,5,694.7,3697.0,16866.5,0,0,73.8,2472.83
GCP,europe-west2,e2-medium,2,4,13,315.5,2586.4,5786.4,1,0,41.9,938.43
Azure,uksouth,D4s_v5,4,16,17,665.4,687.4,150.1,1,0,80.5,2536.02
GCP,asia-southeast1,n2-standard-4,4,16,13,400.0,3994.5,3851.8,1,1,60.8,1854.29
GCP,us-central1,e2-medium,2,4,20,219.3,569.2,15814.8,1,0,64.7,1482.45
GCP,asia-southeast1,n2-standard-8,8,32,12,418.9,2217.7,10015.3,0,0,94.3,3260.63
AWS,us-east-1,m6i.large,2,8,2,590.5,3907.1,6366.5,0,1,9.6,1015.79
Azure,uksouth,D8s_v5,8,32,7,649.3,3288.5,8333.3,1,0,77.1,2932.82
GCP,us-central1,n2-standard-4,4,16,18,261.2,3518.7,1921.9,1,1,11.1,1430.34
GCP,us-central1,n2-standard-4,4,16,2,616.9,158.7,13045.2,0,1,18.2,1291.31
Azure,eastus,D16s_v5,16,64,17,484.0,3280.4,1855.1,1,0,28.2,7039.55
GCP,europe-west2,n2-standard-16,16,64,11,442.1,1484.3,4383.8,1,0,15.7,4706.33
GCP,europe-west2,n2-standard-4,4,16,4,278.9,3296.0,7970.1,0,1,63.8,1216.43
Azure,uksouth,D2s_v5,2,8,4,730.2,3494.0,3846.0,1,0,31.0,955.58
AWS,us-east-1,m6i.2xlarge,8,32,12,490.7,3317.6,14210.7,1,1,59.1,3707.83
Azure,eastus,B2ms,2,8,6,607.5,3309.9,11224.5,1,1,52.0,1544.43
AWS,eu-west-2,m6i.xlarge,4,16,12,561.6,283.0,21.3,1,0,63.2,1498.26
GCP,asia-southeast1,n2-standard-4,4,16,2,448.5,3743.5,1189.7,1,0,22.6,667.3
AWS,us-east-1,m6i.4xlarge,16,64,5,235.9,843.8,8454.7,1,1,82.4,1783.16
GCP,europe-west2,e2-standard-2,2,8,5,381.6,1073.9,12209.7,1,0,88.7,1246.81
Azure,southeastasia,D16s_v5,16,64,3,245.0,2485.9,2439.4,0,0,78.8,1085.41
GCP,asia-southeast1,n2-standard-2,2,8,9,406.3,1309.3,18972.9,0,0,20.3,1964.9
AWS,us-east-1,t3.medium,2,4,10,458.4,3884.1,7614.6,1,0,16.5,1246.33
Azure,eastus,D16s_v5,16,64,20,668.5,2365.5,7173.5,1,1,62.0,11488.43
Azure,southeastasia,B2ms,2,8,19,400.8,1330.5,9020.9,0,1,64.3,1603.2
GCP,us-central1,n2-standard-2,2,8,20,393.5,396.7,3321.3,0,1,24.3,1080.18
AWS,ap-southeast-1,m6i.4xlarge,16,64,16,325.2,3310.6,18550.1,0,0,9.7,6455.82
GCP,europe-west2,n2-standard-2,2,8,3,506.5,38.4,770.8,0,0,7.4,225.08
Azure,eastus,D2s_v5,2,8,18,460.0,1873.7,109.5,0,1,84.1,1014.93
AWS,eu-west-2,t3.large,2,8,2,270.6,3104.1,9931.8,0,0,91.7,1189.76
Azure,southeastasia,D2s_v5,2,8,4,515.2,3515.0,7489.3,1,0,48.4,1231.12
AWS,ap-southeast-1,m6i.2xlarge,8,32,15,419.7,1492.5,8352.4,1,0,80.4,3671.01
Azure,southeastasia,B2ms,2,8,7,673.1,115.4,10409.1,0,0,19.7,1334.31
Azure,uksouth,D16s_v5,16,64,16,202.6,1857.7,10445.0,1,1,22.0,3784.73
Azure,eastus,D16s_v5,16,64,2,714.3,1631.9,16179.4,0,1,63.7,2706.58
AWS,eu-west-2,t3.large,2,8,8,423.1,162.9,10692.0,0,0,8.6,1249.65
AWS,eu-west-2,m6i.xlarge,4,16,7,689.3,199.6,18717.5,0,1,10.4,2669.45
GCP,us-central1,n2-standard-8,8,32,15,696.5,2278.4,7944.7,1,1,92.2,5045.11
GCP,asia-southeast1,n2-standard-16,16,64,4,341.3,3858.2,1885.7,0,0,79.7,1683.76
AWS,ap-southeast-1,m6i.xlarge,4,16,8,251.6,3187.2,10913.5,0,0,92.5,1711.54
AWS,ap-southeast-1,t3.large,2,8,10,437.4,1557.6,7232.0,1,1,12.0,1278.42
GCP,europe-west2,e2-medium,2,4,4,525.3,160.0,3150.5,1,0,24.7,413.88
GCP,europe-west2,n2-standard-4,4,16,19,731.1,960.7,982.4,1,1,22.6,3214.27
AWS,ap-southeast-1,m6i.xlarge,4,16,6,533.1,823.4,16011.7,0,0,90.4,2157.17
AWS,us-east-1,m6i.4xlarge,16,64,2,307.4,1762.6,18913.9,1,0,53.6,2258.63
Azure,eastus,B2ms,2,8,4,559.5,1750.3,4572.9,0,1,89.3,712.55
AWS,ap-southeast-1,m6i.large,2,8,3,460.7,2087.8,10163.9,1,0,48.8,1327.46
AWS,eu-west-2,m6i.4xlarge,16,64,20,514.4,927.3,12752.2,1,0,47.2,9734.42
GCP,us-central1,n2-standard-16,16,64,10,214.0,3292.4,12963.7,0,1,62.4,3098.07
GCP,europe-west2,e2-standard-2,2,8,7,553.7,2694.0,19211.7,1,1,78.1,2105.58
AWS,us-east-1,t3.medium,2,4,15,439.3,877.7,14904.1,1,1,61.4,1630.61
Azure,southeastasia,D8s_v5,8,32,15,242.4,3825.1,3088.5,1,1,52.6,2310.08
Azure,southeastasia,D16s_v5,16,64,16,579.4,717.2,7153.7,0,1,29.6,8987.05
AWS,us-east-1,m6i.xlarge,4,16,15,577.6,298.3,9622.5,0,0,78.4,2499.39
Azure,uksouth,B2ms,2,8,17,315.8,1456.0,3527.1,0,1,26.7,908.33
AWS,us-east-1,m6i.4xlarge,16,64,4,253.8,1766.5,6059.3,1,1,73.7,1516.96
AWS,eu-west-2,m6i.xlarge,4,16,10,542.7,3471.3,19976.6,0,0,86.8,3061.11
AWS,eu-west-2,m6i.xlarge,4,16,16,188.9,1919.3,9886.3,1,0,54.7,1705.67
Azure,southeastasia,D8s_v5,8,32,3,307.0,3176.2,16956.7,0,0,85.1,2088.51
AWS,eu-west-2,m6i.xlarge,4,16,15,522.0,3756.4,6892.8,0,1,20.3,2516.81
AWS,ap-southeast-1,m6i.xlarge,4,16,2,715.4,1623.5,16682.4,0,1,20.8,1897.45
GCP,us-central1,e2-medium,2,4,19,259.0,2717.3,16289.5,1,1,91.8,1756.75
AWS,us-east-1,m6i.xlarge,4,16,9,423.9,1027.1,15515.8,0,1,80.2,2106.39
GCP,us-central1,n2-standard-16,16,64,12,740.7,173.8,4160.0,0,0,13.0,7249.78
GCP,europe-west2,e2-standard-2,2,8,15,389.6,771.6,3909.9,1,1,82.6,897.73
Azure,southeastasia,D2s_v5,2,8,3,412.3,1625.4,18466.9,1,0,72.9,1859.46
AWS,eu-west-2,m6i.large,2,8,10,293.1,757.8,9276.6,1,0,86.7,1250.67
AWS,us-east-1,t3.large,2,8,13,323.7,557.5,18876.0,1,1,81.2,2051.96
AWS,us-east-1,m6i.2xlarge,8,32,1,271.3,2564.2,15658.1,1,0,81.6,1633.01
AWS,us-east-1,t3.large,2,8,11,669.2,1237.1,12378.3,0,1,75.3,1833.08
AWS,us-east-1,m6i.xlarge,4,16,15,428.8,3509.2,10549.2,0,0,72.4,2433.24
AWS,us-east-1,m6i.large,2,8,20,463.6,2031.0,11652.9,1,0,87.2,2170.09
Azure,southeastasia,D16s_v5,16,64,15,562.4,2101.9,3770.6,0,0,70.0,8138.97
GCP,asia-southeast1,e2-standard-2,2,8,8,540.0,1906.3,19732.6,1,1,83.8,2126.31
AWS,eu-west-2,m6i.4xlarge,16,64,16,395.9,3920.3,17670.6,1,0,35.3,7240.16
GCP,europe-west2,n2-standard-2,2,8,19,193.8,896.2,14238.4,0,1,10.0,1649.08
Azure,southeastasia,B2ms,2,8,18,197.4,1597.8,18903.0,1,0,28.2,2010.09
GCP,asia-southeast1,n2-standard-2,2,8,15,301.8,2134.5,15585.4,1,1,7.4,1970.22
GCP,europe-west2,e2-medium,2,4,15,538.5,2981.1,10632.3,0,1,62.6,1477.71
AWS,ap-southeast-1,t3.large,2,8,17,377.2,2322.9,2820.5,0,0,88.0,1042.11
Azure,southeastasia,D8s_v5,8,32,4,299.4,378.2,2402.2,1,0,11.7,837.11
GCP,asia-southeast1,n2-standard-4,4,16,15,616.8,2531.0,17643.5,0,1,69.1,3598.84
GCP,asia-southeast1,n2-standard-16,16,64,7,443.8,695.5,15931.4,1,1,27.2,4126.15
Azure,eastus,D2s_v5,2,8,20,663.0,329.4,15300.5,1,1,67.0,2651.47
GCP,us-central1,n2-standard-4,4,16,6,500.8,1173.5,11085.7,0,0,61.1,1598.0
GCP,asia-southeast1,n2-standard-8,8,32,13,565.0,314.8,8936.8,1,1,25.0,3974.5
AWS,ap-southeast-1,t3.medium,2,4,15,313.7,3322.4,10916.0,0,1,49.9,1522.49
AWS,ap-southeast-1,m6i.4xlarge,16,64,19,478.2,2415.9,14750.3,1,1,48.3,9231.6
Azure,uksouth,D8s_v5,8,32,10,444.1,3849.6,9011.5,1,1,13.6,3059.61
Azure,uksouth,D4s_v5,4,16,8,593.7,148.0,11399.7,1,0,20.1,2051.98
AWS,us-east-1,m6i.large,2,8,7,541.8,1660.8,15192.9,1,0,50.0,1845.68
GCP,asia-southeast1,e2-medium,2,4,8,306.3,1161.8,5008.7,1,0,94.4,685.0
GCP,us-central1,n2-standard-8,8,32,11,540.4,3442.7,18658.7,1,1,80.0,4165.93
Azure,uksouth,D2s_v5,2,8,5,735.6,3626.3,15969.0,1,1,54.3,2081.31
GCP,us-central1,n2-standard-8,8,32,11,539.1,1645.1,14983.5,1,1,16.5,3761.78
GCP,asia-southeast1,n2-standard-4,4,16,20,308.5,3042.2,11079.6,1,1,20.9,2608.38
GCP,asia-southeast1,n2-standard-4,4,16,6,216.6,238.6,11634.5,1,0,19.0,1300.48
GCP,europe-west2,n2-standard-4,4,16,14,220.5,3215.0,17861.0,1,1,86.4,2407.94
GCP,asia-southeast1,e2-standard-2,2,8,4,294.4,2646.7,14496.3,0,0,49.5,1500.61
AWS,eu-west-2,m6i.4xlarge,16,64,16,306.6,202.9,7044.2,0,1,44.5,4747.95
Azure,eastus,D4s_v5,4,16,13,618.0,3245.9,14234.1,1,1,59.3,2996.88
Azure,eastus,B2ms,2,8,18,436.6,1667.4,3533.3,0,0,23.1,1087.3
GCP,europe-west2,n2-standard-16,16,64,1,701.7,3808.7,241.0,0,0,86.5,919.04
Azure,uksouth,D2s_v5,2,8,16,659.3,2463.0,12294.7,1,0,18.8,2364.33
GCP,asia-southeast1,n2-standard-16,16,64,2,591.6,3398.9,9449.4,0,1,92.3,2095.22
GCP,europe-west2,n2-standard-8,8,32,20,303.8,1866.4,18851.4,0,1,82.4,4230.03
Azure,eastus,D2s_v5,2,8,18,316.3,2482.3,18533.4,1,0,93.9,2291.07
AWS,us-east-1,m6i.xlarge,4,16,14,371.6,303.6,9506.1,0,1,35.2,1869.21
AWS,ap-southeast-1,t3.medium,2,4,11,655.3,1796.6,19059.5,0,1,84.7,2080.05
GCP,us-central1,n2-standard-8,8,32,6,567.8,208.5,5731.9,1,1,42.3,1889.9
GCP,us-central1,e2-medium,2,4,6,198.1,2465.3,7474.4,0,1,6.2,898.15
AWS,eu-west-2,m6i.xlarge,4,16,7,637.0,1523.8,10608.8,0,1,51.4,1990.05
AWS,ap-southeast-1,m6i.large,2,8,9,236.6,3135.6,18848.1,1,0,73.7,2156.66
AWS,ap-southeast-1,m6i.2xlarge,8,32,11,704.0,3924.4,846.9,1,1,18.2,3751.81
Azure,eastus,D8s_v5,8,32,20,189.2,1821.0,16853.1,1,1,93.0,3120.73
AWS,us-east-1,t3.large,2,8,5,713.2,1077.9,10081.3,1,1,88.7,1357.55
Azure,southeastasia,B2ms,2,8,20,326.0,2028.1,17190.6,1,1,82.0,2264.29
Azure,uksouth,D2s_v5,2,8,19,285.2,1219.6,621.4,1,1,66.2,809.77
AWS,eu-west-2,m6i.xlarge,4,16,14,328.6,1433.8,6977.2,0,1,37.5,1689.19
GCP,europe-west2,e2-medium,2,4,6,687.7,1383.7,779.6,0,1,26.5,346.46
AWS,us-east-1,m6i.large,2,8,17,708.4,2434.0,14207.2,0,0,35.7,2575.55
AWS,eu-west-2,t3.large,2,8,17,280.3,2460.2,282.5,0,1,8.6,660.97
AWS,ap-southeast-1,m6i.xlarge,4,16,5,334.5,150.6,5587.1,1,1,39.7,919.21
Azure,eastus,D2s_v5,2,8,7,194.2,824.4,15133.0,0,0,50.4,1429.86
AWS,ap-southeast-1,m6i.xlarge,4,16,7,616.5,3063.7,16885.4,0,1,74.0,2670.67
AWS,us-east-1,m6i.large,2,8,2,233.2,3977.2,15401.8,1,0,8.1,1719.3
AWS,ap-southeast-1,m6i.4xlarge,16,64,16,519.8,3430.3,1957.7,1,1,8.8,7816.12
Azure,eastus,D2s_v5,2,8,20,419.8,3520.1,5406.8,0,1,34.5,1582.26
GCP,us-central1,e2-standard-2,2,8,9,325.2,2020.7,3036.0,1,0,42.2,673.87
GCP,us-central1,n2-standard-2,2,8,14,622.6,3871.0,16762.7,1,1,20.3,2570.41
Azure,eastus,D8s_v5,8,32,12,328.6,3719.8,2303.7,0,0,10.3,2018.96
Azure,southeastasia,D2s_v5,2,8,1,468.9,1049.1,13258.5,1,0,85.5,1319.4
Azure,eastus,D16s_v5,16,64,7,511.4,2877.9,8853.1,1,1,95.0,3946.34
GCP,asia-southeast1,n2-standard-8,8,32,6,700.2,369.3,2280.4,0,0,33.3,2002.68
AWS,ap-southeast-1,m6i.2xlarge,8,32,10,414.7,776.4,17967.5,1,0,11.0,3450.93
Azure,uksouth,B2ms,2,8,3,549.7,394.2,18997.0,0,0,17.3,1694.38
GCP,asia-southeast1,n2-standard-16,16,64,8,483.0,1201.5,1212.6,1,1,39.7,3514.52
GCP,us-central1,n2-standard-16,16,64,7,398.9,1394.6,10678.1,0,1,57.9,3239.9
